nome,total_gasto
rafael ALVES,4908.35
 beatriz lima,5546.64
ana costa,488.71
CARLOS souza ,2397.26
 Lucas martins,1316.37
 marina rocha ,757.08
 Lucas martins,2042.24
 Lucas martins,7505.54
ana costa,3089.65
rafael ALVES,1462.13
camila dias ,3055.45
rafael ALVES,3795.76
 marina rocha ,2410.02
 marina rocha ,2917.55
PAULO henrique,2066.0
 Lucas martins,1811.54
 Lucas martins,1526.54
PAULO henrique,2397.58
 marina rocha ,172.89
 beatriz lima,2482.17
ana costa,3187.47
PAULO henrique,3328.15
ana costa,1249.99
PAULO henrique,3284.36
rafael ALVES,3237.35
camila dias ,3287.15
 Lucas martins,4970.28
 marina rocha ,1205.88
 marina rocha ,2431.23
rafael ALVES,603.9
 beatriz lima,4673.81
ana costa,1371.73
ana costa,5472.71
PAULO henrique,5597.11
 Lucas martins,2608.15
ana costa,2509.95
 beatriz lima,857.12
 marina rocha ,2986.41
PAULO henrique,4942.18
PAULO henrique,3572.27
PAULO henrique,6909.13
ana costa,2226.13
 beatriz lima,2223.94
rafael ALVES,1450.07
ana costa,9841.56
 beatriz lima,849.71
rafael ALVES,4712.06
 Lucas martins,5008.8
 beatriz lima,4870.54
 Lucas martins,1551.11
PAULO henrique,2607.08
PAULO henrique,4275.66
camila dias ,1837.57
camila dias ,2347.52
CARLOS souza ,1862.66
rafael ALVES,3130.84
 marina rocha ,2988.64
 Lucas martins,7696.61
ana costa,4338.02
rafael ALVES,1039.41
CARLOS souza ,1114.31
CARLOS souza ,4767.05
camila dias ,2966.1
CARLOS souza ,9478.09
camila dias ,1646.22
 Lucas martins,1443.27
camila dias ,3609.63
CARLOS souza ,1126.44
CARLOS souza ,4714.35
rafael ALVES,8397.23
 marina rocha ,3272.81
camila dias ,2167.97
rafael ALVES,3863.77
CARLOS souza ,5361.77
 Lucas martins,5385.2
 Lucas martins,2186.07
PAULO henrique,1802.1
PAULO henrique,3478.44
 Lucas martins,2296.21
rafael ALVES,1427.2
CARLOS souza ,2275.86
 marina rocha ,3109.71
rafael ALVES,3799.02
camila dias ,878.5
camila dias ,1921.95
rafael ALVES,9217.12
 beatriz lima,5215.4
rafael ALVES,2253.27
PAULO henrique,4727.08
PAULO henrique,2576.2
 marina rocha ,2519.37
 marina rocha ,5054.44
 Lucas martins,4595.57
 beatriz lima,1142.55
CARLOS souza ,2529.52
camila dias ,4816.34
 Lucas martins,9052.76
 marina rocha ,5243.31
rafael ALVES,1872.25
 beatriz lima,344.32
rafael ALVES,1680.15
ana costa,1011.14
 marina rocha ,8192.04
 beatriz lima,589.18
 beatriz lima,1170.15
 marina rocha ,3429.37
 Lucas martins,2951.38
CARLOS souza ,3461.21
 Lucas martins,4409.28
 marina rocha ,2665.34
 Lucas martins,1226.69
rafael ALVES,2205.53
 Lucas martins,7974.36
PAULO henrique,1502.84
PAULO henrique,2875.35
 marina rocha ,408.34
rafael ALVES,5420.83
 marina rocha ,3296.44
camila dias ,7987.87
camila dias ,2462.84
ana costa,866.52
PAULO henrique,4038.8
camila dias ,1966.04
PAULO henrique,4923.44
rafael ALVES,1528.86
 beatriz lima,7099.83
PAULO henrique,3108.16
PAULO henrique,2672.85
 beatriz lima,6800.5
rafael ALVES,5473.16
 beatriz lima,1703.77
ana costa,655.04
ana costa,4667.5
ana costa,2782.89
rafael ALVES,5091.49
 marina rocha ,2818.62
rafael ALVES,2842.24
 Lucas martins,2849.19
CARLOS souza ,2738.92
rafael ALVES,1649.4
CARLOS souza ,2821.13
 beatriz lima,2600.32
 marina rocha ,2491.29
 beatriz lima,2463.91
 beatriz lima,1167.43
PAULO henrique,5832.4
camila dias ,1919.59
CARLOS souza ,7333.81
ana costa,1390.32
CARLOS souza ,8404.49
 marina rocha ,2286.56
 Lucas martins,5413.23
CARLOS souza ,3274.22
ana costa,1031.73
 marina rocha ,1080.84
 Lucas martins,1797.27
 marina rocha ,2190.54
 Lucas martins,2906.99
PAULO henrique,3773.93
ana costa,2640.8
rafael ALVES,3637.17
camila dias ,4050.53
 marina rocha ,2556.04
CARLOS souza ,4617.14
CARLOS souza ,1937.04
PAULO henrique,4120.6
rafael ALVES,4279.15
 marina rocha ,3418.2
 beatriz lima,6162.58
 beatriz lima,2954.93
PAULO henrique,1822.78
ana costa,3017.42
rafael ALVES,1047.68
 beatriz lima,938.83
camila dias ,1340.08
PAULO henrique,7409.48
rafael ALVES,2340.0
 beatriz lima,5360.81
CARLOS souza ,518.98
CARLOS souza ,4129.32
 beatriz lima,2963.4
camila dias ,8181.19
ana costa,2674.92
ana costa,1306.12
 marina rocha ,824.62
CARLOS souza ,3015.77
camila dias ,3413.5
camila dias ,2558.12
camila dias ,5438.82
rafael ALVES,6906.85
rafael ALVES,2321.12
rafael ALVES,619.51
CARLOS souza ,3651.58
 marina rocha ,6241.89
camila dias ,2328.79
 beatriz lima,4278.65
ana costa,1227.16
 marina rocha ,3591.45
rafael ALVES,4331.0
camila dias ,3660.58
camila dias ,3821.7
 Lucas martins,7352.67
rafael ALVES,4801.14
 Lucas martins,5869.32
ana costa,3574.39
 beatriz lima,2871.73
 beatriz lima,2148.34
 Lucas martins,1204.99
 marina rocha ,7568.85
 beatriz lima,3961.26
CARLOS souza ,3066.85
camila dias ,3104.07
PAULO henrique,4451.39
camila dias ,2683.7
rafael ALVES,1337.46
CARLOS souza ,1020.4
 beatriz lima,9566.03
 marina rocha ,709.46
CARLOS souza ,3755.57
ana costa,799.8
camila dias ,2779.52
 marina rocha ,2312.44
rafael ALVES,923.28
 marina rocha ,4554.65
PAULO henrique,1260.55
ana costa,815.75
rafael ALVES,4889.24
 beatriz lima,2320.01
ana costa,1670.36
ana costa,5087.4
rafael ALVES,1207.25
 marina rocha ,636.38
 marina rocha ,3868.63
camila dias ,1472.19
rafael ALVES,2726.91
 marina rocha ,117.96
camila dias ,2700.8
PAULO henrique,5278.81
 Lucas martins,6195.01
CARLOS souza ,1325.36
camila dias ,2404.67
PAULO henrique,3557.69
 marina rocha ,5081.07
ana costa,4732.5
 marina rocha ,4241.84
camila dias ,6184.69
PAULO henrique,2868.69
ana costa,2254.22
 beatriz lima,1969.56
 marina rocha ,4781.56
camila dias ,2190.8
rafael ALVES,2755.75
camila dias ,3072.87
camila dias ,2098.98
 beatriz lima,6358.92
CARLOS souza ,2271.16
 Lucas martins,2962.83
 marina rocha ,4417.35
camila dias ,12187.81
 Lucas martins,4524.92
rafael ALVES,3149.11
ana costa,534.34
 Lucas martins,2703.34
 marina rocha ,1826.06
ana costa,2381.3
 marina rocha ,2156.8
ana costa,4388.02
 beatriz lima,2662.25
 beatriz lima,1502.62
rafael ALVES,5423.5
 marina rocha ,1102.38
camila dias ,3048.88
 beatriz lima,2717.32
PAULO henrique,3830.28
 Lucas martins,6226.28
PAULO henrique,13351.41
 beatriz lima,3147.67
PAULO henrique,1803.17
 beatriz lima,1671.28
rafael ALVES,1665.21
PAULO henrique,3735.72
 beatriz lima,416.23
ana costa,1045.51
camila dias ,3738.08
PAULO henrique,5599.74
ana costa,5621.31
rafael ALVES,3252.07
 beatriz lima,5138.5
 Lucas martins,563.94
 Lucas martins,2245.92
PAULO henrique,1772.1
rafael ALVES,755.52
ana costa,1020.03
CARLOS souza ,2346.78
ana costa,666.62
camila dias ,4435.91
ana costa,2002.31
PAULO henrique,2738.1
 Lucas martins,2811.37
 beatriz lima,2303.26
PAULO henrique,1656.85
 Lucas martins,4294.69
rafael ALVES,1970.14
rafael ALVES,2784.79
CARLOS souza ,3856.42
rafael ALVES,6262.75
camila dias ,5947.59
PAULO henrique,2105.76
CARLOS souza ,1589.18
 marina rocha ,7088.59
PAULO henrique,1961.91
ana costa,4179.77
camila dias ,632.14
CARLOS souza ,403.97
 beatriz lima,3145.5
rafael ALVES,2519.49
 marina rocha ,4912.0
 Lucas martins,1672.31
CARLOS souza ,3660.96
 beatriz lima,4740.41
rafael ALVES,1725.79
camila dias ,2344.79
 Lucas martins,1200.57
rafael ALVES,5028.52
PAULO henrique,4331.76
 Lucas martins,4549.45
camila dias ,2511.97
PAULO henrique,4282.41
 marina rocha ,2676.74
 Lucas martins,7862.26
CARLOS souza ,2970.43
 beatriz lima,5727.25
PAULO henrique,2522.23
ana costa,6830.7
 marina rocha ,1585.9
camila dias ,3979.73
CARLOS souza ,1841.28
camila dias ,3553.7
rafael ALVES,1969.22
camila dias ,2962.15
PAULO henrique,2191.19
CARLOS souza ,4629.72
PAULO henrique,4092.38
ana costa,1791.33
CARLOS souza ,1751.82
 Lucas martins,1477.95
 Lucas martins,1250.86
ana costa,4837.37
rafael ALVES,1411.06
ana costa,3759.52
 beatriz lima,2052.52
 Lucas martins,5620.43
CARLOS souza ,4965.94
PAULO henrique,109.78
camila dias ,1569.93
 Lucas martins,2027.11
 beatriz lima,2575.58
PAULO henrique,2461.74
rafael ALVES,1007.25
ana costa,9191.19
CARLOS souza ,2527.84
PAULO henrique,4080.14
PAULO henrique,4164.6
 marina rocha ,813.47
camila dias ,2285.48
PAULO henrique,4837.17
 beatriz lima,3176.88
 beatriz lima,2321.42
 Lucas martins,958.08
 Lucas martins,1898.08
ana costa,2247.91
camila dias ,2185.09
CARLOS souza ,1479.26
camila dias ,867.73
 marina rocha ,1190.71
PAULO henrique,1910.75
PAULO henrique,4784.31
 marina rocha ,6017.14
 beatriz lima,3194.84
camila dias ,1219.87
 marina rocha ,1995.57
 marina rocha ,425.32
 beatriz lima,7197.77
ana costa,1763.8
 marina rocha ,3852.05
 beatriz lima,5746.99
PAULO henrique,8479.61
 beatriz lima,5134.61
 Lucas martins,2174.87
PAULO henrique,4206.98
rafael ALVES,8283.08
PAULO henrique,1750.71
PAULO henrique,827.6
 marina rocha ,1488.83
 marina rocha ,4019.81
 Lucas martins,2217.02
 beatriz lima,2768.41
rafael ALVES,4482.31
 beatriz lima,1461.88
 marina rocha ,2670.9
 Lucas martins,1969.06
 marina rocha ,8073.48
CARLOS souza ,5029.83
 Lucas martins,2228.53
camila dias ,2135.66
rafael ALVES,8656.43
CARLOS souza ,4348.6
rafael ALVES,4001.88
camila dias ,2861.41
 marina rocha ,1023.89
CARLOS souza ,1499.68
CARLOS souza ,955.52
 Lucas martins,5896.32
rafael ALVES,1038.21
PAULO henrique,2115.02
 beatriz lima,518.78
ana costa,751.71
rafael ALVES,4619.43
PAULO henrique,3594.04
 beatriz lima,2935.69
 marina rocha ,2144.82
rafael ALVES,661.04
 beatriz lima,1931.46
 beatriz lima,2555.07
 beatriz lima,4412.58
 beatriz lima,975.19
PAULO henrique,4716.03
 beatriz lima,3579.21
PAULO henrique,2903.67
 beatriz lima,3338.6
 beatriz lima,1832.49
 Lucas martins,3083.7
 Lucas martins,2544.33
rafael ALVES,10883.4
 beatriz lima,3397.79
PAULO henrique,387.18
ana costa,2058.82
rafael ALVES,2342.56
 marina rocha ,5141.58
PAULO henrique,3701.45
ana costa,3574.27
ana costa,6698.71
 beatriz lima,4259.22
ana costa,4614.91
 marina rocha ,2180.6
 Lucas martins,2230.54
 beatriz lima,6153.76
rafael ALVES,2225.43
CARLOS souza ,2764.23
ana costa,2025.13
PAULO henrique,1201.72
 beatriz lima,10354.02
 marina rocha ,2777.79
PAULO henrique,7315.35
camila dias ,2248.21
CARLOS souza ,1763.01
 marina rocha ,4357.59
 Lucas martins,5670.98
rafael ALVES,5909.52
ana costa,2530.05
 beatriz lima,4663.49
camila dias ,1916.75
camila dias ,3055.86
 beatriz lima,2353.12
CARLOS souza ,2094.01
 beatriz lima,3146.2
CARLOS souza ,1174.55
PAULO henrique,5371.28
camila dias ,2100.52
ana costa,5206.28
PAULO henrique,1394.04
camila dias ,2094.94
 marina rocha ,1171.13
camila dias ,1133.4
ana costa,1550.26
PAULO henrique,1412.01
CARLOS souza ,1179.65
 Lucas martins,2909.72
rafael ALVES,4300.89
ana costa,4451.65
PAULO henrique,612.12
PAULO henrique,2342.02
rafael ALVES,2171.92
 beatriz lima,6775.33
ana costa,2409.4
 Lucas martins,2738.59
CARLOS souza ,845.75
camila dias ,1517.46
 marina rocha ,797.99
PAULO henrique,3043.54
PAULO henrique,1389.92
camila dias ,1560.38
ana costa,2423.68
 Lucas martins,1419.3
ana costa,1800.58
 Lucas martins,3088.63
 beatriz lima,9023.58
camila dias ,6696.46
ana costa,7969.41
rafael ALVES,5236.66
 marina rocha ,2400.11
 Lucas martins,2163.14
ana costa,1567.98
ana costa,215.55
PAULO henrique,2372.03
ana costa,6976.12
camila dias ,6925.61
ana costa,11147.14
 Lucas martins,3250.99
 marina rocha ,1022.97
 Lucas martins,4112.81
CARLOS souza ,9085.15
 beatriz lima,7563.8
rafael ALVES,1980.18
ana costa,1109.93
ana costa,1083.08
 beatriz lima,1649.24
PAULO henrique,1851.63
PAULO henrique,2269.19
ana costa,4482.87
ana costa,2211.36
PAULO henrique,2958.86
 beatriz lima,746.53
camila dias ,1569.59
 beatriz lima,1512.01
 beatriz lima,630.52
CARLOS souza ,2169.96
 beatriz lima,751.7
PAULO henrique,2055.9
rafael ALVES,3122.94
PAULO henrique,7051.91
ana costa,1450.25
 marina rocha ,3061.92
rafael ALVES,1741.01
 Lucas martins,712.75
rafael ALVES,7104.12
ana costa,3223.4
PAULO henrique,3971.84
CARLOS souza ,7848.23
 Lucas martins,2048.24
rafael ALVES,977.16
camila dias ,1433.27
PAULO henrique,898.23
rafael ALVES,5880.64
 marina rocha ,9307.21
CARLOS souza ,3099.23
ana costa,4567.32
camila dias ,5381.76
 Lucas martins,8181.1
camila dias ,9064.55
 beatriz lima,490.26
 beatriz lima,1780.18
 beatriz lima,2855.27
PAULO henrique,1612.77
 marina rocha ,2312.51
camila dias ,3798.65
 Lucas martins,3728.47
rafael ALVES,5267.8
PAULO henrique,2901.18
 marina rocha ,245.17
 Lucas martins,2169.97
 beatriz lima,3547.89
CARLOS souza ,5515.15
rafael ALVES,5005.51
 marina rocha ,2624.73
 Lucas martins,1689.5
camila dias ,2714.51
ana costa,571.95
 marina rocha ,1822.27
CARLOS souza ,6186.55
 beatriz lima,2708.51
 Lucas martins,3652.57
 Lucas martins,863.61
CARLOS souza ,5490.65
CARLOS souza ,2527.66
PAULO henrique,3567.78
rafael ALVES,4114.99
rafael ALVES,5359.24
camila dias ,3198.93
 Lucas martins,2571.36
 Lucas martins,1048.35
camila dias ,790.98
 Lucas martins,3154.06
PAULO henrique,3583.82
 Lucas martins,3997.28
 marina rocha ,1457.71
ana costa,1835.55
camila dias ,3114.3
 Lucas martins,2018.97
 beatriz lima,11724.91
rafael ALVES,1805.1
 marina rocha ,3754.48
PAULO henrique,4906.39
PAULO henrique,5106.77
rafael ALVES,1991.94
camila dias ,4128.57
camila dias ,3789.24
 Lucas martins,4249.07
 marina rocha ,3085.31
ana costa,4929.66
camila dias ,3347.66
ana costa,938.87
CARLOS souza ,3278.2
 beatriz lima,3550.61
CARLOS souza ,4703.73
